Softwarename	Publisher	LatUpdate	PCname
 Tools for .Net 3.5	Microsoft Corporation	20/11/2018	THUYLINH443
Active Directory Authentication Library for SQL Server	Microsoft Corporation	23/11/2018	LEARN-APP204
Adobe Flash Player 18 ActiveX	Adobe Systems Incorporated	21/11/2018	LEARN212
Bitvise SSH Server 7.31 (remove only)	Bitvise Limited	21/11/2018	LEARN200
ClickOnce Bootstrapper Package for Microsoft .NET Framework	Microsoft Corporation	20/11/2018	THUYLINH443
Dell OpenManage Server Administrator	Dell	21/11/2018	LEARN212
DiagnosticsHub_CollectionService	Microsoft Corporation	22/11/2018	LEARN-APP204
Google Chrome	Google Inc.	21/11/2018	LEARN200
Google Update Helper	Google Inc.	21/11/2018	LEARN200
hMailServer 5.6.5-B2367		21/11/2018	LEARN202
Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946040)	Microsoft Corporation	21/11/2018	LEARN212
Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946308)	Microsoft Corporation	21/11/2018	LEARN212
Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946344)	Microsoft Corporation	21/11/2018	LEARN212
Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB947540)	Microsoft Corporation	21/11/2018	LEARN212
Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB947789)	Microsoft Corporation	21/11/2018	LEARN212
IBM_DLC_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_DLC_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_HCW_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_HCW_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_MB_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_PW_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_PW_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_RCW_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_RCW_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SCN_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SCN_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SCW_DataCleaningService	Vigilant Solutions	26/11/2018	SRVDB52
IBM_SCW_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SOCW_CR_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SOCW_CR_PersonalInfoService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SOCW_RI_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_SOCW_RI_PersonalInfoService	Vigilant Solutions	26/11/2018	SRVDB52
IBM_WAM_DataCleaningService	Vigilant Solutions	20/11/2018	SRVDB52
IBM_WAM_PersonalInfoService	Vigilant Solutions	26/11/2018	SRVDB52
IBMDataDump	Vigilant Solutions	20/11/2018	THUYLINH443
IBMReportService1	Vigilant Solutions	21/11/2018	THUYLINH210
IBMReportService2	Vigilant Solutions	21/11/2018	THUYLINH210
